Image_Name,Run_Duration,Space_Time,Derivative_Coupling,Switching_Func,σ,SF_Center_A,SF_Center_B,b,nΩ,nχ,χ0A,Ω0,Ωf,χ0B0,χ0Bf,λ,Numeric_Derivative_ε,initial_τs,final_τs,rtol,maxevals,Contour_ε
b_goes_to_zero_2023-02-28T11_14_36.475,94,quench,true,cos4,1.0,0.65,0.65,0.001,10,10,1.0,-1.0,30.0,1.5,2.5,0.01,0.001,"[0.15000000000000002, 0.15000000000000002]","[1.15, 1.15]",0.0001,5000000,0.001
big_chi_quench_2023-03-03T14_21_30.122,119,quench,true,cos4,1.0,0.7,0.7,0.1,10,12,10.0,-1.0,30.0,10.5,11.5,0.01,0.001,"[0.19999999999999996, 0.19999999999999996]","[1.2, 1.2]",0.0001,5000000,0.001
big_chi_quench_2023-03-05T21_01_56.554,118,quench,true,cos4,1.0,0.7,0.7,0.1,10,12,5.0,-1.0,30.0,5.5,6.5,0.01,0.001,"[0.19999999999999996, 0.19999999999999996]","[1.2, 1.2]",0.0001,5000000,0.001
big_chi_quench_2023-03-06T10_39_42.375,655,quench,true,cos4,1.0,0.7,0.7,0.1,10,12,2.5,-1.0,30.0,3.0,4.0,0.01,0.001,"[0.19999999999999996, 0.19999999999999996]","[1.2, 1.2]",0.0001,5000000,0.001
epsilon_dependence_2023-02-23T17_17_26.802,221,quench,true,cos4,1.0,0.65,0.65,0.1,10,10,1.0,-1.0,30.0,1.5,2.5,0.01,0.001,"[0.15000000000000002, 0.15000000000000002]","[1.15, 1.15]",0.0001,5000000,0.001
epsilon_dependence_2023-02-24T15_34_52.974,74,quench,true,cos4,1.0,0.65,0.65,0.1,10,10,1.0,-1.0,30.0,1.5,2.5,0.01,0.001,"[0.15000000000000002, 0.15000000000000002]","[1.15, 1.15]",0.0001,5000000,0.01
flat_test_2023-02-25T20_12_03.336,24,flat,true,cos4,1.0,0.65,0.65,0.01,10,10,1.0,5.0,20.0,0.5,2.0,0.01,0.001,"[0.15000000000000002, 0.15000000000000002]","[1.15, 1.15]",0.0001,500000,0.01
flat_test_2023-02-28T14_31_34.859,87,flat,true,cos4,1.0,0.7,0.7,0.1,10,12,1.0,5.0,20.0,0.5,2.0,0.01,0.001,"[0.19999999999999996, 0.19999999999999996]","[1.2, 1.2]",0.0001,50000,0.001
max_evals_and_epsilon_dependence_2023-02-25T18_21_48.639,10,quench,true,cos4,1.0,0.65,0.65,0.1,10,10,1.0,-1.0,30.0,1.5,2.5,0.01,0.001,"[0.15000000000000002, 0.15000000000000002]","[1.15, 1.15]",0.0001,500000,0.01
max_evals_dependence_2023-02-24T14_43_39.720,21,quench,true,cos4,1.0,0.65,0.65,0.1,10,10,1.0,-1.0,30.0,1.5,2.5,0.01,0.001,"[0.15000000000000002, 0.15000000000000002]","[1.15, 1.15]",0.0001,500000,0.001
max_evals_epsilon_dependance_2023-03-02T14_58_40.603,18,quench,true,cos4,1.0,0.7,0.7,0.1,10,12,1.0,-1.0,30.0,1.5,2.5,0.01,0.001,"[0.19999999999999996, 0.19999999999999996]","[1.2, 1.2]",0.0001,500000,0.001
rindler_tests_more_evals_2023-02-26T02_01_07.824,371,rindler,true,cos4,1.0,0.65,0.65,0.01,10,10,1.0,-1.0,30.0,1.5,2.5,0.01,0.001,"[0.15000000000000002, 0.15000000000000002]","[1.15, 1.15]",0.0001,5000000,0.01
rindler_tests_smaller_epsilon_2023-02-26T02_31_25.558,399,rindler,true,cos4,1.0,0.65,0.65,0.01,10,10,1.0,-1.0,30.0,1.5,2.5,0.01,0.001,"[0.15000000000000002, 0.15000000000000002]","[1.15, 1.15]",0.0001,5000000,0.001
rindler_tests_smaller_epsilon_2023-02-26T02_42_17.694,390,rindler,true,cos4,1.0,0.65,0.65,0.01,10,10,1.0,-1.0,30.0,1.5,2.5,0.01,0.001,"[0.15000000000000002, 0.15000000000000002]","[1.15, 1.15]",0.0001,5000000,0.001
rindler_tests_smaller_epsilon_2023-02-26T11_37_03.072,246,rindler,true,cos4,1.0,0.65,0.65,0.01,10,10,1.0,-1.0,30.0,1.5,2.5,0.01,0.001,"[0.15000000000000002, 0.15000000000000002]","[1.15, 1.15]",0.0001,5000000,0.0005
rindler_vs_quench_2023-02-25T19_43_26.785,25,rindler,true,cos4,1.0,0.65,0.65,0.1,10,10,1.0,-1.0,30.0,1.5,2.5,0.01,0.001,"[0.15000000000000002, 0.15000000000000002]","[1.15, 1.15]",0.0001,500000,0.01
